time,type,volume,symbol,price,sl,tp,comment
2026-09-09 00:50:01.873,sell,0.01,GOLD,4367.52,4371.57,4359.38,GBH SELL (open)
2026-09-09 01:28:58.474,buy,0.01,GOLD,4359.16,,,close of SELL 4367.52 (TP hit) +8.36
2026-09-09 03:32:03.270,buy,0.01,GOLD,4358.27,4353.08,4368.65,GBH BUY (open)
2026-09-09 03:38:50.641,sell,0.01,GOLD,4353.06,,,close of BUY 4358.27 (SL hit) -5.21
2026-09-09 04:30:02.381,buy,0.01,GOLD,4354.31,4351.67,4360.67,GBH BUY (open)
2026-09-09 05:22:06.821,sell,0.01,GOLD,4351.67,,,close of BUY 4354.31 (SL hit) -2.64
2026-09-09 06:10:02.655,buy,0.01,GOLD,4349.63,4345.67,4357.56,GBH BUY (open)
2026-09-09 06:22:16.185,sell,0.01,GOLD,4357.76,,,close of BUY 4349.63 (TP hit) +8.13
2026-09-09 06:28:02.689,buy,0.01,GOLD,4361.42,4357.79,4368.76,GBH BUY (open)
2026-09-09 06:31:18.549,sell,0.01,GOLD,4357.51,,,close of BUY 4361.42 (SL hit) -3.91
2026-09-09 19:59:59.947,buy,0.01,GOLD,4426.31,4420.08,4438.76,GBH BUY (open; v3 re-attached 19:43 after VPS migration)
2026-09-09 20:13:32.808,sell,0.01,GOLD,4419.89,,,close of BUY 4426.31 (SL hit) -6.42
2026-09-09 21:03:59.923,buy,0.01,GOLD,4398.62,4390.10,4415.59,GBH BUY (open)
2026-09-09 22:36:02.811,sell,0.01,GOLD,4415.62,,,close of BUY 4398.62 (TP hit) +17.00
2026-09-09 21:57:02.288,buy,0.01,GOLD,4401.09,4393.09,4417.09,GoldHunterPro_Small BUY (open; magic 20260910, loaded 21:57:00 for 34s)
2026-09-09 22:36:14.168,sell,0.01,GOLD,4417.11,,,close of BUY 4401.09 (TP hit) +16.02
